epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5745.39,1.44642,0.78205,1.34513,0.98909,0.99471,0.99453,0.63447,1.2818,0.46218,1.08904,0.000492625,0.000492625,0.000492625
43,5874.77,1.44461,0.78187,1.3463,0.98856,0.99515,0.99455,0.63361,1.2809,0.46065,1.08833,0.00048025,0.00048025,0.00048025
44,6004.21,1.44383,0.77889,1.34942,0.98764,0.9973,0.99453,0.63273,1.28121,0.45882,1.08826,0.000467875,0.000467875,0.000467875
45,6133,1.44276,0.77142,1.34648,0.98705,0.9981,0.99451,0.63497,1.27926,0.45737,1.08757,0.0004555,0.0004555,0.0004555
46,6262.53,1.43794,0.76641,1.33951,0.98716,0.99812,0.9945,0.63616,1.27685,0.45474,1.08637,0.000443125,0.000443125,0.000443125
47,6392.57,1.43585,0.76412,1.34454,0.98724,0.99811,0.99447,0.63662,1.27588,0.45264,1.08594,0.00043075,0.00043075,0.00043075
48,6522.53,1.43347,0.76402,1.34313,0.98727,0.9981,0.99444,0.63609,1.27299,0.45073,1.08506,0.000418375,0.000418375,0.000418375
49,6651.92,1.43206,0.76567,1.34299,0.98706,0.9981,0.99445,0.63752,1.27026,0.44887,1.08348,0.000406,0.000406,0.000406
50,6782.13,1.4313,0.7585,1.3418,0.98673,0.99811,0.99439,0.63836,1.26601,0.44628,1.08211,0.000393625,0.000393625,0.000393625
51,6912.04,1.42998,0.75476,1.33731,0.98701,0.99808,0.99441,0.63965,1.263,0.44471,1.08126,0.00038125,0.00038125,0.00038125
52,7041.46,1.42942,0.74922,1.3354,0.98558,0.99627,0.99301,0.64076,1.26064,0.44256,1.08048,0.000368875,0.000368875,0.000368875
53,7171.24,1.42061,0.74588,1.33173,0.98561,0.99627,0.99298,0.64144,1.258,0.44106,1.0789,0.0003565,0.0003565,0.0003565
54,7300.99,1.42107,0.74469,1.332,0.98569,0.99627,0.99297,0.64381,1.25442,0.44035,1.07702,0.000344125,0.000344125,0.000344125
55,7430.66,1.41833,0.73868,1.33121,0.98586,0.99624,0.99302,0.64568,1.2488,0.43703,1.0749,0.00033175,0.00033175,0.00033175
56,7560.71,1.41655,0.73704,1.33052,0.98601,0.99622,0.99299,0.64765,1.24388,0.43446,1.07287,0.000319375,0.000319375,0.000319375
57,7690.11,1.40971,0.73733,1.3301,0.98599,0.99621,0.99296,0.64907,1.23874,0.43318,1.07098,0.000307,0.000307,0.000307
58,7820.21,1.40679,0.73457,1.32861,0.98606,0.9962,0.99298,0.65199,1.23153,0.43022,1.06802,0.000294625,0.000294625,0.000294625
59,7949.66,1.4089,0.72843,1.32641,0.98608,0.99619,0.99298,0.65578,1.22536,0.42752,1.06547,0.00028225,0.00028225,0.00028225
60,8079.15,1.40054,0.7276,1.32499,0.98616,0.99618,0.99294,0.65719,1.2214,0.42623,1.06377,0.000269875,0.000269875,0.000269875
61,8208.47,1.40213,0.72662,1.32447,0.98642,0.99617,0.99302,0.65806,1.21933,0.42466,1.06278,0.0002575,0.0002575,0.0002575
62,8338.05,1.39486,0.72196,1.32105,0.98648,0.99616,0.99303,0.66038,1.21408,0.42163,1.06078,0.000245125,0.000245125,0.000245125
63,8467.54,1.39164,0.71592,1.31181,0.98658,0.99615,0.99299,0.66037,1.21205,0.42045,1.05967,0.00023275,0.00023275,0.00023275
64,8597.42,1.38939,0.71505,1.31331,0.98677,0.99614,0.99299,0.66232,1.21053,0.41891,1.05854,0.000220375,0.000220375,0.000220375
65,8727.66,1.38682,0.71088,1.30995,0.98698,0.99613,0.99301,0.66383,1.20958,0.4175,1.05791,0.000208,0.000208,0.000208
66,8857.37,1.38402,0.71044,1.31157,0.98737,0.99588,0.99301,0.66561,1.20818,0.41601,1.05677,0.000195625,0.000195625,0.000195625
67,8986.77,1.37859,0.70336,1.30801,0.98768,0.99562,0.99299,0.6668,1.20511,0.41467,1.05579,0.00018325,0.00018325,0.00018325
68,9116.97,1.37881,0.70337,1.30883,0.9879,0.99535,0.99293,0.66977,1.20099,0.41331,1.05403,0.000170875,0.000170875,0.000170875
69,9246.89,1.37558,0.70301,1.30633,0.98799,0.99557,0.99302,0.66977,1.20013,0.413,1.05351,0.0001585,0.0001585,0.0001585
70,9376.69,1.37159,0.69679,1.3053,0.98804,0.99579,0.99302,0.66967,1.198,0.41092,1.05282,0.000146125,0.000146125,0.000146125
71,9506.93,1.38327,0.48847,1.31,0.98698,0.99578,0.99293,0.67167,1.19404,0.40972,1.05148,0.00013375,0.00013375,0.00013375
72,9636.85,1.37092,0.4818,1.30511,0.98881,0.99762,0.99434,0.67111,1.19295,0.40779,1.05057,0.000121375,0.000121375,0.000121375
73,9765.9,1.35991,0.47705,1.30115,0.98881,0.99789,0.99426,0.67133,1.19176,0.40732,1.05025,0.000109,0.000109,0.000109
74,9895.5,1.35539,0.47324,1.29859,0.9887,0.99779,0.99428,0.67184,1.19017,0.40655,1.04951,9.6625e-05,9.6625e-05,9.6625e-05
75,10026,1.34688,0.47114,1.28982,0.98875,0.99762,0.99423,0.67211,1.1886,0.40464,1.04921,8.425e-05,8.425e-05,8.425e-05
76,10155.3,1.34174,0.46734,1.28685,0.99111,0.99466,0.99423,0.67317,1.18712,0.40363,1.04824,7.1875e-05,7.1875e-05,7.1875e-05
77,10285,1.33563,0.46316,1.28314,0.99102,0.9948,0.99428,0.67343,1.18631,0.40283,1.04764,5.95e-05,5.95e-05,5.95e-05
78,10415.3,1.32878,0.45952,1.27956,0.99095,0.99483,0.99427,0.67292,1.18545,0.40234,1.04744,4.7125e-05,4.7125e-05,4.7125e-05
79,10544.7,1.32576,0.4604,1.27802,0.99089,0.99481,0.99429,0.67273,1.18383,0.40186,1.04633,3.475e-05,3.475e-05,3.475e-05
80,10674.5,1.32208,0.45824,1.27884,0.99078,0.99482,0.9943,0.67214,1.18348,0.40085,1.04628,2.2375e-05,2.2375e-05,2.2375e-05
