epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.375,1.73958,1.47838,1.74001,0.90409,0.82951,0.87653,0.34504,2.23903,1.10882,1.68001,0.000333179,0.000333179,0.0670153
2,687.966,1.6979,1.29098,1.71387,0.93549,0.83392,0.91618,0.51921,1.56244,0.84689,1.29785,0.000658264,0.000658264,0.0340071
3,1020.07,1.6702,1.2063,1.69082,0.92314,0.86002,0.91103,0.38417,2.0832,1.04437,1.53951,0.000975099,0.000975099,0.000990581
4,1350.69,1.64662,1.13663,1.67623,0.95488,0.85492,0.93899,0.40019,1.99437,0.90267,1.46217,0.000962875,0.000962875,0.000962875
